kanton,gemeinde,schweizer,auslander,einburgerungen,ja,nein,anteil_schweizer,anteil_ausl,anteil_ja,anteil_nein,einwohner,quantile
TG,Aadorf,7114,1304,10,1742,1199,0.8450938465193633,0.15490615348063674,0.5923155389323359,0.40768446106766404,8418,90% - 99%
AG,Aarau,16105,3998,58,3243,4935,0.8011242103168681,0.19887578968313188,0.39655172413793105,0.603448275862069,20103,90% - 99%
BE,Aarberg,3728,454,12,909,805,0.8914395026303205,0.10856049736967958,0.530338389731622,0.46966161026837805,4182,75% - 90%
AG,Aarburg,4214,2979,32,1028,677,0.5858473515918254,0.4141526484081746,0.6029325513196481,0.39706744868035193,7193,90% - 99%
BE,Aarwangen,3671,558,8,944,670,0.8680539134547174,0.13194608654528256,0.5848822800495663,0.41511771995043373,4229,75% - 90%
AG,Abtwil,836,110,0,206,121,0.8837209302325582,0.11627906976744186,0.6299694189602446,0.37003058103975534,946,25% - 50%
VD,Aclens,379,119,1,64,126,0.7610441767068273,0.2389558232931727,0.3368421052631579,0.6631578947368421,498,0% - 25%
TI,Acquarossa,1641,215,4,420,185,0.8841594827586207,0.11584051724137931,0.6942148760330579,0.30578512396694213,1856,50% - 75%
BE,Adelboden,3269,231,4,1263,497,0.934,0.066,0.7176136363636364,0.28238636363636366,3500,75% - 90%
LU,Adligenswil,4866,540,11,1099,1310,0.9001109877913429,0.09988901220865705,0.45620589456205896,0.543794105437941,5406,75% - 90%
ZH,Adlikon,538,23,0,217,84,0.9590017825311943,0.040998217468805706,0.7209302325581395,0.27906976744186046,561,0% - 25%
ZH,Adliswil,12274,5763,117,2857,2937,0.6804901036757776,0.31950989632422244,0.49309630652399034,0.5069036934760097,18037,90% - 99%
SO,Aedermannsdorf,534,21,0,170,105,0.9621621621621622,0.03783783783783784,0.6181818181818182,0.38181818181818183,555,0% - 25%
BE,Aefligen,1008,72,0,305,133,0.9333333333333333,0.06666666666666667,0.6963470319634704,0.3036529680365297,1080,25% - 50%
