kanton,schweizer,auslander,auslanderanteil,ja,nein,ja_anteil
Zürich,1057472,351103,0.24926113270503877,239139,265973,0.47343757424096045
Bern,853602,139015,0.14004898163138452,200007,191689,0.5106179281892079
Luzern,320628,65454,0.16953393320589927,80523,70414,0.53348748153203
Uri,31938,3755,0.10520270080968257,7595,5462,0.5816803247300298
Schwyz,120856,28974,0.19337916305145833,38500,22542,0.6307132793814095
Obwalden,31131,4984,0.13800359961234943,8983,6212,0.5911813096413294
Nidwalden,36398,5186,0.12471142747210466,10693,7482,0.5883356258596973
Glarus,30795,8574,0.21778556732454468,7824,5350,0.5938970699863367
Zug,87120,29455,0.25266995496461503,22257,22307,0.4994390090656135
Fribourg,233105,58290,0.20003774944662742,51172,54383,0.4847899199469471
Solothurn,207443,51840,0.19993597729122234,52934,44030,0.5459139474444124
Basel-Stadt,124497,62928,0.33575030012004803,24941,39007,0.39002001626321386
Basel-Landschaft,220923,55614,0.20110871239653283,51177,49876,0.5064372161143162
Schaffhausen,59199,18756,0.2406003463536656,20004,14401,0.5814271181514314
Appenzell Ausserrhoden,45602,7836,0.1466372244470227,11890,9969,0.5439407109199872
Appenzell Innerrhoden,14137,1580,0.10052809060253229,3709,2134,0.6347766558274859
St. Gallen,377489,109571,0.22496407013509628,97218,76547,0.5594797571432683
Graubünden,160390,33530,0.17290635313531352,35721,34884,0.5059273422562142
Aargau,484088,143252,0.22834826409921255,123390,100001,0.5523499156188029
Thurgau,197944,58269,0.2274240573273019,49920,36418,0.578192684565313
Ticino,250320,91332,0.267324646131151,82652,38589,0.6817165810245709
Vaud,498089,236267,0.32173360059698564,93170,146107,0.3893813446340434
Valais,252134,69598,0.21632290229134807,61821,66123,0.4831879572312887
Neuchâtel,132652,41902,0.24005178913115713,23735,36668,0.39294405906991375
Genève,279417,183684,0.39663917806266885,53533,83327,0.3911515417214672
Jura,61722,9220,0.1299653237856277,11446,14533,0.440586627660803
