stn,Name,Meereshoehe,x,y
ABO,Adelboden,1326,609350,149001
ALT,Altdorf,438,690174,193558
BAS,Basel / Binningen,316,610911,265600
BER,Bern / Zollikofen,552,601929,204409
BUS,Buchs / Aarau,386,648389,248365
CHU,Chur,556,759465,193152
DAV,Davos,1594,783514,187457
DIS,Disentis,1197,708188,173789
ENG,Engelberg,1035,674156,186097
GVE,Genève / Cointrin,410,498904,122631
INT,Interlaken,577,633019,169093
CDF,La Chaux-de-Fonds,1017,550919,214861
OTL,Locarno / Monti,366,704160,114350
LUG,Lugano,273,717873,95884
LUZ,Luzern,454,665540,209848
NEU,Neuchâtel,485,563086,205559
PIO,Piotta,990,695888,152261
PUY,Pully,455,540811,151514
SAM,Samedan,1708,787210,155700
SHA,Schaffhausen,438,688698,282796
SIO,Sion,482,591630,118575
STG,St. Gallen,775,747865,254588
ZER,Zermatt,1638,624350,97560
SMA,Zürich / Fluntern,555,685116,248065
