area;richness
0.0001;2
0.001;4
0.01;4
0.1;10
1;26
10;37
0.0001;2
0.001;5
0.01;11
0.1;15
1;26
10;52
100;70
0.0001;1
0.001;1
0.01;3
0.1;6
1;21
10;40
0.0001;1
0.001;4
0.01;6
0.1;12
1;26
10;37
100;65
0.0001;1
0.001;3
0.01;8
0.1;10
1;20
10;37
0.0001;2
0.001;2
0.01;5
0.1;13
1;18
10;31
100;52
0.0001;3
0.001;4
0.01;7
0.1;10
1;15
10;38
0.0001;3
0.001;4
0.01;5
0.1;9
1;13
10;24
100;54
0.0001;2
0.001;4
0.01;6
0.1;8
1;15
10;26
0.0001;2
0.001;3
0.01;5
0.1;6
1;15
10;21
100;35
0.0001;2
0.001;3
0.01;4
0.1;6
1;14
10;26
0.0001;2
0.001;6
0.01;6
0.1;13
1;19
10;31
100;49
0.0001;1
0.001;1
0.01;9
0.1;16
1;21
10;36
0.0001;4
0.001;8
0.01;14
0.1;24
1;33
10;47
100;73
0.0001;2
0.001;2
0.01;4
0.1;7
1;17
10;40
0.0001;1
0.001;3
0.01;4
0.1;6
1;16
10;37
100;85
0.0001;1
0.001;2
0.01;8
0.1;13
1;21
10;47
0.0001;2
0.001;2
0.01;6
0.1;9
1;17
10;50
100;84
0.0001;3
0.001;5
0.01;6
0.1;10
1;17
10;21
0.0001;3
0.001;4
0.01;6
0.1;13
1;16
10;24
100;34
0.0001;3
0.001;3
0.01;8
0.1;13
1;20
10;38
0.0001;2
0.001;2
0.01;4
0.1;13
1;24
10;34
100;60
0.0001;3
0.001;3
0.01;5
0.1;7
1;14
10;28
0.0001;1
0.001;1
0.01;8
0.1;11
1;21
10;29
100;57
