PlotID;Species_richness;Altitude;Inclination;Heat_index;Microrelief;Grazing_intensity;Litter;Stones_and_rocks;Gravel;Fine_soil;Sand;Silt;Clay;pH;Conductivity;CaCO3;N_total;C_org;CN_ratio;Temperature;Temperature_range;Precipitation
UA01NW;44;179;24;-0.42;5;0;12;0;0;2;45;40;15;7.32;90;0.0754;0.14;1.54;10.76;79;330;608
UA01SE;53;178;17;-0.3;2.5;0;10;0;0;5;30;35;35;6.91;115;0.1271;0.17;1.97;11.47;79;330;608
UA02NW;48;188;27;-0.51;2;0;0;0;0;0;20;60;20;6.72;126;0.0723;0.24;2.99;12.5;80;329;603
UA02SE;50;183;33;-0.65;2;0;4;0;0;7;20;60;20;6.44;90;0.0771;0.26;3.22;12.55;80;329;603
UA03NW;53;162;7;-0.09;3;0;15;0;0;0;55;10;35;6.1;73;0.0829;0.29;3.77;12.79;82;328;594
UA03SE;40;165;33;-0.42;4;0;30;0;0;0;30;35;35;6.23;76;0.0805;0.2;2.5;12.34;82;328;594
UA04NW;46;153;30;0;16;1;5;40;0;2;10;60;30;6.79;163;0.4159;0.34;4.59;13.58;82;328;594
UA04SE;56;158;32;-0.59;15;1;6;10;0;5;30;35;35;6.43;119;0.0894;0.29;3.67;12.77;82;328;594
UA05NW;30;192;25;0.46;5;0;10;0;0;5;10;60;30;7.19;151;0.1512;0.18;2.16;11.77;79;326;600
UA05SE;35;197;18;0.32;3;0;20;0;0;2;5;90;5;7;69;0.0804;0.2;2.38;11.84;83;327;586
UA06NW;48;201;5;0.08;2;0;2;0;0;0;5;90;5;6.82;73;0.0791;0.15;1.86;12.24;82;326;588
UA06SE;38;205;8;0.14;1;0;2;0;0;1;55;10;35;6.79;115;0.0866;0.19;2.17;11.66;82;326;588
UA08NW;50;125;22;-0.1;15;1;20;18;6;8;20;60;20;7.47;167;12.6796;0.26;1.55;6.04;87;329;587
UA08SE;53;122;22;-0.14;5;1;10;10;2;10;75;10;15;7.29;205;14.3978;0.25;3.07;12.23;87;329;587
UA09NW;62;169;26;-0.28;20;0;2;13;12;25;50;30;20;7.62;187;19.2448;0.3;3.05;10.11;85;328;592
UA09SE;56;166;35;-0.06;45;0;8;15;5;12;60;20;20;7.7;188;23.4186;0.23;2.89;12.46;85;328;592
UA10NW;34;123;27;0.22;2;2;30;0;0;0;55;10;35;7.32;203;28.5492;0.36;4.85;13.36;89;330;578
UA10SE;44;129;27;0.22;3;2;5;0;0;3;30;35;35;7.42;173;35.2992;0.21;2.86;13.76;89;330;578
UA11NW;33;194;14;0.14;2;0;30;0;0;0;55;10;35;7.46;180;10.82;0.57;6.98;12.35;83;327;598
UA11SE;41;194;14;0.14;2;0;90;0;0;1;20;60;20;7.5;210;12.6552;0.5;6.34;12.64;83;327;598
UA12NW;34;179;17;0.26;1;3;15;0;0;3;55;10;35;7.38;184;2.2547;0.28;3.56;12.86;87;330;583
UA12SE;41;177;13;0.2;2;3;7;0;0;30;20;25;55;7.74;150;6.713;0.19;2.39;12.36;87;330;583
UA13SE;45;163;20;0.35;3;0;2;4;2;0;30;35;35;7.52;183;14.0508;0.28;3.74;13.21;84;329;600
UA14NW;50;140;16;-0.29;5;2;2;0.2;0;25;55;10;35;7.36;187;3.5415;0.3;3.52;11.71;87;330;591
UA14SE;55;140;20;-0.36;3;0;5;0.2;0;0;55;10;35;7.45;179;4.4155;0.27;3.26;11.98;87;330;591
UA15NW;55;188;22;-0.26;5;1;25;1;1;1;5;90;5;7.43;194;5.2606;0.36;4.87;13.68;84;327;599
UA15SE;54;186;17;-0.1;3;1;5;2;0;3;50;30;20;7.33;208;5.0288;0.35;4.38;12.56;82;328;605
UA16NW;33;224;17;-0.26;2;3;5;0;0;25;5;90;5;6;129;0.1183;0.13;1.48;11.48;78;327;613
UA16SE;38;231;16;-0.23;4;3;2;0;0;38;20;25;55;7.2;149;0.3175;0.14;1.65;11.55;78;327;613
UA17NW;44;103;18;0.32;3;1;8;2;3;12;20;60;20;7.49;176;16.9733;0.25;3.24;12.78;89;330;581
UA17SE;56;109;18;0.32;3;1;20;0.2;0;15;20;60;20;7.4;201;6.9968;0.31;4.32;14.14;89;330;581
UA18NW;37;82;15;0.26;8;2;3;5;9;0;50;30;20;7.32;164;25.3756;0.18;2.84;16.24;91;330;577
UA18SE;43;78;18;0.31;5;1;2;1;6;12;30;35;35;7.2;188;23.4738;0.25;3.69;14.8;91;330;577
UA19SE;27;99;38;0.64;20;0;5;3;12;20;55;10;35;7.6;127;27.7949;0.07;1.83;27.42;92;331;587
UA20NW;39;203;20;0.31;2;2;4;0.1;0;11;55;10;35;7.52;159;2.8131;0.22;3.07;13.8;83;328;630
UA20SE;47;201;20;0.34;5;0;4;1;3;15;55;10;35;7.62;154;3.8618;0.21;3.02;14.57;83;328;630
UA21SE;36;186;22;0.38;16;1;5;0.6;0.5;3;55;10;35;7.48;163;3.922;0.15;2.58;17.36;83;328;628
UAR007;23;226;9;-0.16;3;1;85;0;0;0;55;10;35;6.65;133;0.0042;0.24;2.98;12.24;78;330;612
UAR008;32;202;40;-0.84;4;0;3;0;0;5;20;60;20;6.86;97;0.1834;0.25;2.91;11.62;79;330;605
UAR009;25;184;10;-0.16;5;2;10;0;0;5;50;30;20;5.73;94;0.1448;0.33;3.87;11.72;79;330;605
UAR010;27;197;23;-0.24;0;1;10;7;2;10;70;20;10;6.31;56;0.1123;0.15;1.67;10.96;79;330;605
UAR011;39;195;20;-0.26;8;0;5;15;2;8;20;60;20;5.97;40;0.1267;0.2;2.38;11.72;79;330;605
UAR012 ;35;183;30;0.54;20;1;10;20;0;10;55;10;35;4.89;53;0.1233;0.32;3.85;11.93;79;330;605
UAR013;47;160;20;-0.26;6;0;2;12;0;2;55;10;35;5.68;81;0.1409;0.41;4.65;11.44;81;329;597
UAR014;49;170;27;-0.26;2;1;15;0;0;3;55;10;35;5.31;44;0.1089;0.25;2.8;11.29;82;328;594
UAR015;33;174;20;0;10;1;0;0;0;20;55;25;20;6.11;87;0.1171;0.29;3.56;12.12;81;329;597
UAR017;66;158;45;-0.94;100;1;5;4;0;3;50;30;20;6.22;77;0.1257;0.26;3.25;12.27;82;328;594
UAR018;47;162;8;-0.14;2;1;10;0;0;0;5;90;5;6.21;61;0.1036;0.2;2.42;12.15;83;327;586
UAR019;46;176;6;-0.1;5;1;35;0;0;5;55;25;20;6.22;67;0.1042;0.19;2.34;12.43;83;327;586
UAR020;28;186;25;0.42;0;0;35;0;0.2;0;20;70;10;7.36;153;2.3583;0.15;1.76;11.85;81;328;594
UAR021;24;191;20;0.35;10;0;65;0;0;2;20;70;10;6.73;109;0.0975;0.25;2.97;12.1;81;326;592
UAR022;27;204;29;0.39;2;0;10;0;0;20;5;90;5;7.37;145;0.942;0.19;2.27;11.85;82;326;588
UAR023;25;208;20;0.26;5;1;15;0;0;10;30;35;35;7.5;134;1.287;0.13;1.57;12.25;79;326;600
UAR024;38;207;30;-0.41;20;1;5;0;0;5;55;10;35;7.48;131;0.3374;0.11;1.04;9.75;79;326;600
