"Pseudonym";"meal";"choice_1";"choice_2";"choice_3";"choice_4";"choice_5";"choice_6";"choice_7";"choice_8";"choice_9";"choice_10";"satis_1";"satis_2";"satis_3";"ing_1";"ing_2";"ing_3";"ing_4";"att_1";"att_2";"att_3";"att_4";"att_5";"att_6";"att_7";"att_8";"att_9";"att_10";"att_11";"diet";"allerg";"relig";"meds";"tho_1";"tho_2";"tho_3";"tho_4";"tho_5";"tra_1";"tra_2";"tra_3";"tra_4";"tra_5";"meat";"milk";"veget";"veg";"pensum";"cant";"home";"other";"gender";"member";"fill";"age_groups";"mensa";"sumNA";"perNA";"Verpflegungstyp";"date";"place";"intervention";"label_content";"meal_name";"choice_add_d";"choice_add_v";"code_choice";"Bemerkungen_d";"Bemerkungen_v";"code_zu_Bemerkungen"
"2017_HS_F_0001";NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;"3";NA;"4";"3";"3";"4";4;4;"2";"4";"4";1;"1";4;"3";"4";4;"0";"0";"0";"0";"4";"4";4;"3";3;4;3;"3";"4";"4";"6";"5";"2";"2";"5";"3";"4";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";11;21,1538461538462;"Selbstverpfleger";2017-10-17;"Gr¸ental";0;NA;NA;0;NA;NA;0;NA;NA
"2017_HS_F_0007";"Favorite";4;4;4;4;2;4;"2";NA;NA;NA;3;"3";"2";"4";"2";"2";"3";3;4;"3";"3";"4";2;"2";4;"4";"2";3;"1";"0";"0";"0";"4";"3";3;"3";3;4;3;"3";NA;"4";"6";"6";"3";"2";NA;"1";"1";"1";"Mann";"Andere";"0";"26- bis 34-jaehrig";"1";8;15,3846153846154;NA;2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0008";"Favorite";3;1;4;2;2;4;"1";"2";"1";3;3;"3";"2";"1";"1";"1";"4";3;4;"3";"4";"4";4;"1";4;"-99";"-99";NA;"0";"0";"0";"0";"3";"4";4;"4";2;3;4;"3";"4";"4";"4";"6";"4";"2";"4";"4";"2";"1";"Mann";"Mitarbeiter/in";"0";"26- bis 34-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";1;"Vegi-Men¸Å Åberzeugte nicht";"Unzufrieden mit Auswahl";0;NA;NA
"2017_HS_F_0010";"Favorite";4;1;4;4;4;4;"1";"4";"1";3;3;"3";"1";"1";"1";"1";"3";2;3;"2";"3";"3";2;"2";3;"3";"3";2;"0";"0";"0";"0";"4";"4";4;"4";2;4;4;"4";"4";"4";"4";"5";"4";"2";"2";"3";"3";"2";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Abwechsler";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0016";"Favorite";3;3;4;3;2;3;"2";"2";"1";3;4;"4";"1";"3";"4";"-99";"3";2;3;"2";"3";"3";1;"1";3;"4";"3";4;"0";"0";"0";"0";"3";"4";4;"3";4;3;3;NA;"4";"4";"4";"3";"2";"2";"5";"5";"2";"1";"Frau";"Student/in";"0";"26- bis 34-jaehrig";"1";1;1,92307692307692;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;1;"Schˆn w‰ren mehr regionale Lebensmittel von den Bauern rundherum!. Weniger SV Abh‰ngigkeit.";"regional"
"2017_HS_F_0017";"Favorite";3;2;4;3;2;4;"1";"1";"1";3;3;"3";"2";"2";"2";"-99";"-99";1;2;"2";"2";"2";1;"1";3;"2";"-99";3;"0";"1";"0";"0";"3";"3";2;"3";2;3;3;"2";"2";"3";"4";"3";"3";"2";"5";"4";"1";"3";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0019";"Favorite";4;1;3;4;3;2;"1";"1";"1";2;3;"3";"2";"1";"1";"1";"4";2;3;"2";"3";"3";2;"1";3;"4";"4";2;"0";"1";"0";"0";"3";"4";4;"4";2;4;4;"4";"4";"4";"5";"6";"3";"2";"3";"3";"1";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0020";"Favorite";4;2;4;4;3;3;"1";"1";"1";4;4;"4";"1";"3";"2";"2";"4";3;4;"2";"2";"3";1;"1";4;"4";"4";4;"0";"0";"0";"0";"4";"4";3;"3";4;4;4;"3";"3";"4";"5";"5";"3";"2";"5";"4";"3";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0021";"Favorite";3;2;3;3;2;2;"1";"1";"1";4;4;"4";"1";"1";"1";"-99";"-99";4;4;"3";"4";"4";3;"2";3;"4";"4";3;"0";"0";"0";"0";"3";"4";4;"4";3;4;4;"4";"4";"4";"5";"6";"4";"3";"2";"5";"1";"1";"Mann";"Student/in";"0";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
"2017_HS_F_0022";"Favorite";3;3;3;3;2;4;"1";"3";"1";3;3;"3";"1";"3";"2";"2";"3";2;4;"2";"2";"2";2;"2";3;"4";"2";4;"0";"0";"0";"0";"4";"4";4;"4";3;4;4;"4";"4";"4";"3";"5";"5";"3";"4";"2";"4";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Selbstverpfleger";2017-10-17;"Gr¸ental";0;"Fleisch/Fisch";"Kalbsbratwurst";0;NA;NA;0;NA;NA
